id_expense;value;date;account_number;category_id;main_category;secondary_category
1;-1200;01/01/2023;1111;8;Home Expenses;Rent
2;-40;02/01/2023;2222;19;Health;Gym
3;-100;04/01/2023;3333;20;Health;Health Insurance
4;12000;03/01/2023;1111;17;Income;Salary
5;-1200;05/02/2023;2222;8;Home Expenses;Rent
6;-40;01/02/2023;1111;19;Health;Gym
7;-100;04/02/2023;3333;20;Health;Health Insurance
8;12000;03/02/2023;2222;17;Income;Salary
9;-1200;02/03/2023;3333;8;Home Expenses;Rent
10;-40;04/03/2023;3333;19;Health;Gym
11;-100;05/03/2023;1111;20;Health;Health Insurance
12;12000;02/03/2023;1111;17;Income;Salary
13;-1200;04/04/2023;2222;8;Home Expenses;Rent
14;-40;05/04/2023;2222;19;Health;Gym
15;-100;01/04/2023;2222;20;Health;Health Insurance
16;12000;05/04/2023;2222;17;Income;Salary
17;-1200;04/05/2023;3333;8;Home Expenses;Rent
18;-40;04/05/2023;1111;19;Health;Gym
19;-100;01/05/2023;1111;20;Health;Health Insurance
20;12000;02/05/2023;2222;17;Income;Salary
21;-1200;03/06/2023;3333;8;Home Expenses;Rent
22;-40;04/06/2023;1111;19;Health;Gym
23;-100;03/06/2023;2222;20;Health;Health Insurance
24;12000;02/06/2023;2222;17;Income;Salary
25;-1200;02/07/2023;1111;8;Home Expenses;Rent
26;-40;01/07/2023;2222;19;Health;Gym
27;-100;04/07/2023;1111;20;Health;Health Insurance
28;12000;05/07/2023;3333;17;Income;Salary
29;-1200;03/08/2023;3333;8;Home Expenses;Rent
30;-40;04/08/2023;3333;19;Health;Gym
31;-100;04/08/2023;2222;20;Health;Health Insurance
32;12000;04/08/2023;3333;17;Income;Salary
33;-1200;01/09/2023;2222;8;Home Expenses;Rent
34;-40;05/09/2023;3333;19;Health;Gym
35;-100;05/09/2023;1111;20;Health;Health Insurance
36;12000;03/09/2023;1111;17;Income;Salary
37;-1200;05/10/2023;1111;8;Home Expenses;Rent
38;-40;02/10/2023;2222;19;Health;Gym
39;-100;04/10/2023;3333;20;Health;Health Insurance
40;12000;02/10/2023;2222;17;Income;Salary
41;-1200;02/11/2023;1111;8;Home Expenses;Rent
42;-40;03/11/2023;2222;19;Health;Gym
43;-100;04/11/2023;3333;20;Health;Health Insurance
44;12000;03/11/2023;1111;17;Income;Salary
45;-1200;03/12/2023;2222;8;Home Expenses;Rent
46;-40;05/12/2023;3333;19;Health;Gym
47;-100;01/12/2023;3333;20;Health;Health Insurance
48;12000;02/12/2023;3333;17;Income;Salary
49;-1200;02/01/2024;1111;8;Home Expenses;Rent
50;-40;05/01/2024;1111;19;Health;Gym
51;-100;05/01/2024;2222;20;Health;Health Insurance
52;12000;03/01/2024;3333;17;Income;Salary
53;-1200;03/02/2024;2222;8;Home Expenses;Rent
54;-40;03/02/2024;1111;19;Health;Gym
55;-100;05/02/2024;3333;20;Health;Health Insurance
56;12000;03/02/2024;1111;17;Income;Salary
57;-1200;01/03/2024;1111;8;Home Expenses;Rent
58;-40;05/03/2024;2222;19;Health;Gym
59;-100;03/03/2024;2222;20;Health;Health Insurance
60;12000;04/03/2024;2222;17;Income;Salary
61;-1200;02/04/2024;1111;8;Home Expenses;Rent
62;-40;02/04/2024;1111;19;Health;Gym
63;-100;05/04/2024;1111;20;Health;Health Insurance
64;12000;02/04/2024;3333;17;Income;Salary
65;-1200;05/05/2024;3333;8;Home Expenses;Rent
66;-40;05/05/2024;3333;19;Health;Gym
67;-100;05/05/2024;3333;20;Health;Health Insurance
68;12000;01/05/2024;2222;17;Income;Salary
69;-1200;04/06/2024;1111;8;Home Expenses;Rent
70;-40;01/06/2024;1111;19;Health;Gym
71;-100;01/06/2024;2222;20;Health;Health Insurance
72;12000;03/06/2024;2222;17;Income;Salary
73;-1200;03/07/2024;1111;8;Home Expenses;Rent
74;-40;04/07/2024;3333;19;Health;Gym
75;-100;05/07/2024;2222;20;Health;Health Insurance
76;12000;02/07/2024;3333;17;Income;Salary
77;-1200;03/08/2024;1111;8;Home Expenses;Rent
78;-40;01/08/2024;1111;19;Health;Gym
79;-100;02/08/2024;3333;20;Health;Health Insurance
80;12000;02/08/2024;3333;17;Income;Salary
81;-1200;02/09/2024;2222;8;Home Expenses;Rent
82;-40;02/09/2024;1111;19;Health;Gym
83;-100;02/09/2024;1111;20;Health;Health Insurance
84;12000;04/09/2024;3333;17;Income;Salary
85;-1200;01/10/2024;1111;8;Home Expenses;Rent
86;-40;01/10/2024;2222;19;Health;Gym
87;-100;04/10/2024;1111;20;Health;Health Insurance
88;12000;02/10/2024;1111;17;Income;Salary
89;-1200;01/11/2024;3333;8;Home Expenses;Rent
90;-40;05/11/2024;3333;19;Health;Gym
91;-100;01/11/2024;2222;20;Health;Health Insurance
92;12000;01/11/2024;2222;17;Income;Salary
93;-1200;01/12/2024;1111;8;Home Expenses;Rent
94;-40;03/12/2024;3333;19;Health;Gym
95;-100;01/12/2024;1111;20;Health;Health Insurance
96;12000;01/12/2024;3333;17;Income;Salary
97;-1200;02/01/2025;3333;8;Home Expenses;Rent
98;-40;02/01/2025;1111;19;Health;Gym
99;-100;03/01/2025;1111;20;Health;Health Insurance
100;12000;01/01/2025;1111;17;Income;Salary
101;-1200;03/02/2025;3333;8;Home Expenses;Rent
102;-40;03/02/2025;2222;19;Health;Gym
103;-100;02/02/2025;3333;20;Health;Health Insurance
104;12000;05/02/2025;1111;17;Income;Salary
105;-1200;05/03/2025;3333;8;Home Expenses;Rent
106;-40;01/03/2025;1111;19;Health;Gym
107;-100;05/03/2025;1111;20;Health;Health Insurance
108;12000;05/03/2025;1111;17;Income;Salary
109;-1200;02/04/2025;2222;8;Home Expenses;Rent
110;-40;02/04/2025;3333;19;Health;Gym
111;-100;01/04/2025;3333;20;Health;Health Insurance
112;12000;01/04/2025;1111;17;Income;Salary
113;-1200;05/05/2025;3333;8;Home Expenses;Rent
114;-40;04/05/2025;2222;19;Health;Gym
115;-100;05/05/2025;1111;20;Health;Health Insurance
116;12000;04/05/2025;3333;17;Income;Salary
117;-1200;01/06/2025;1111;8;Home Expenses;Rent
118;-40;03/06/2025;2222;19;Health;Gym
119;-100;04/06/2025;1111;20;Health;Health Insurance
120;12000;05/06/2025;1111;17;Income;Salary
121;-1200;04/07/2025;1111;8;Home Expenses;Rent
122;-40;03/07/2025;1111;19;Health;Gym
123;-100;04/07/2025;1111;20;Health;Health Insurance
124;12000;05/07/2025;1111;17;Income;Salary
125;-1200;04/08/2025;2222;8;Home Expenses;Rent
126;-40;03/08/2025;3333;19;Health;Gym
127;-100;01/08/2025;1111;20;Health;Health Insurance
128;12000;03/08/2025;2222;17;Income;Salary
129;-1200;01/09/2025;2222;8;Home Expenses;Rent
130;-40;03/09/2025;2222;19;Health;Gym
131;-100;05/09/2025;3333;20;Health;Health Insurance
132;12000;03/09/2025;3333;17;Income;Salary
133;-1200;04/10/2025;1111;8;Home Expenses;Rent
134;-40;05/10/2025;2222;19;Health;Gym
135;-100;03/10/2025;2222;20;Health;Health Insurance
136;12000;02/10/2025;1111;17;Income;Salary
137;-1200;04/11/2025;3333;8;Home Expenses;Rent
138;-40;03/11/2025;1111;19;Health;Gym
139;-100;01/11/2025;3333;20;Health;Health Insurance
140;12000;04/11/2025;3333;17;Income;Salary
141;-426.55;24/06/2023;1111;4;Purchases;Electronics
142;-41.84;28/07/2023;3333;5;Home Expenses;Water
143;-56.47;12/02/2024;2222;6;Home Expenses;Electricity
144;-210.89;07/04/2025;1111;7;Home Expenses;Heating
145;-1038.11;19/10/2025;2222;9;Holidays;Airplane
