,id_expense,value,date,account_number,category_id,main_category,secondary_category
0,1,-1200.0,2023-01-01,1111,8,Home Expenses,Rent
1,2,-40.0,2023-01-02,2222,19,Health,Gym
2,3,-100.0,2023-01-04,3333,20,Health,Health Insurance
3,4,12000.0,2023-01-03,1111,17,Income,Salary
4,5,-1200.0,2023-02-05,2222,8,Home Expenses,Rent
5,6,-40.0,2023-02-01,1111,19,Health,Gym
6,7,-100.0,2023-02-04,3333,20,Health,Health Insurance
7,8,12000.0,2023-02-03,2222,17,Income,Salary
8,9,-1200.0,2023-03-02,3333,8,Home Expenses,Rent
9,10,-40.0,2023-03-04,3333,19,Health,Gym
10,11,-100.0,2023-03-05,1111,20,Health,Health Insurance
11,12,12000.0,2023-03-02,1111,17,Income,Salary
12,13,-1200.0,2023-04-04,2222,8,Home Expenses,Rent
13,14,-40.0,2023-04-05,2222,19,Health,Gym
14,15,-100.0,2023-04-01,2222,20,Health,Health Insurance
15,16,12000.0,2023-04-05,2222,17,Income,Salary
16,17,-1200.0,2023-05-04,3333,8,Home Expenses,Rent
17,18,-40.0,2023-05-04,1111,19,Health,Gym
18,19,-100.0,2023-05-01,1111,20,Health,Health Insurance
19,20,12000.0,2023-05-02,2222,17,Income,Salary
20,21,-1200.0,2023-06-03,3333,8,Home Expenses,Rent
21,22,-40.0,2023-06-04,1111,19,Health,Gym
22,23,-100.0,2023-06-03,2222,20,Health,Health Insurance
23,24,12000.0,2023-06-02,2222,17,Income,Salary
24,25,-1200.0,2023-07-02,1111,8,Home Expenses,Rent
25,26,-40.0,2023-07-01,2222,19,Health,Gym
26,27,-100.0,2023-07-04,1111,20,Health,Health Insurance
27,28,12000.0,2023-07-05,3333,17,Income,Salary
28,29,-1200.0,2023-08-03,3333,8,Home Expenses,Rent
29,30,-40.0,2023-08-04,3333,19,Health,Gym
30,31,-100.0,2023-08-04,2222,20,Health,Health Insurance
31,32,12000.0,2023-08-04,3333,17,Income,Salary
32,33,-1200.0,2023-09-01,2222,8,Home Expenses,Rent
33,34,-40.0,2023-09-05,3333,19,Health,Gym
34,35,-100.0,2023-09-05,1111,20,Health,Health Insurance
35,36,12000.0,2023-09-03,1111,17,Income,Salary
36,37,-1200.0,2023-10-05,1111,8,Home Expenses,Rent
37,38,-40.0,2023-10-02,2222,19,Health,Gym
