,id_expense,value,date,account_number,category_id,main_category,secondary_category,balance_account_1111,balance_account_2222,balance_account_3333,total_balance
0,1,-1200.0,2023-01-01,1111,8,Home Expenses,Rent,-1200.0,0.0,0.0,-1200.0
1538,1539,-97.55,2023-01-01,2222,6,Home Expenses,Electricity,-1200.0,-97.55,0.0,-1297.55
1,2,-40.0,2023-01-02,2222,19,Health,Gym,-1200.0,-137.55,0.0,-1337.55
1225,1226,-138.06,2023-01-02,1111,15,Groceries,Groceries,-1338.06,-137.55,0.0,-1475.61
3,4,12000.0,2023-01-03,1111,17,Income,Salary,10661.94,-137.55,0.0,10524.390000000001
1200,1201,-97.26,2023-01-03,2222,13,Leisure,Activities,10661.94,-234.81,0.0,10427.130000000001
1865,1866,-20.0,2023-01-04,2222,24,Telecom,Telecom,10661.94,-254.81,0.0,10407.130000000001
1626,1627,-40.59,2023-01-04,3333,13,Leisure,Activities,10661.94,-254.81,-40.59,10366.54
748,749,-30.96,2023-01-04,2222,14,Leisure,Bar,10661.94,-285.77,-40.59,10335.58
2,3,-100.0,2023-01-04,3333,20,Health,Health Insurance,10661.94,-285.77,-140.59,10235.58
486,487,-90.65,2023-01-05,2222,22,Taxes,Documents,10661.94,-376.41999999999996,-140.59,10144.93
466,467,-44.07,2023-01-05,3333,27,Clothing,Shoes,10661.94,-376.41999999999996,-184.66,10100.86
972,973,-62.33,2023-01-06,1111,3,Purchases,Home Items,10599.61,-376.41999999999996,-184.66,10038.53
1573,1574,-77.21,2023-01-07,2222,25,Public Transports,Train,10599.61,-453.62999999999994,-184.66,9961.320000000002
724,725,-215.06,2023-01-07,3333,15,Groceries,Groceries,10599.61,-453.62999999999994,-399.72,9746.260000000002
1449,1450,-232.35,2023-01-07,2222,28,Clothing,Clothes,10599.61,-685.9799999999999,-399.72,9513.910000000002
911,912,-203.46,2023-01-08,1111,10,Holidays,Hotel Stays,10396.150000000001,-685.9799999999999,-399.72,9310.450000000003
1081,1082,-218.33,2023-01-09,2222,15,Groceries,Groceries,10396.150000000001,-904.31,-399.72,9092.120000000003
679,680,-57.48,2023-01-09,1111,5,Home Expenses,Water,10338.670000000002,-904.31,-399.72,9034.640000000003
282,283,-31.36,2023-01-09,3333,26,Public Transports,Bus,10338.670000000002,-904.31,-431.08000000000004,9003.280000000002
1143,1144,-78.5,2023-01-10,2222,1,Car,Fuel,10338.670000000002,-982.81,-431.08000000000004,8924.780000000002
1668,1669,-17.82,2023-01-11,2222,26,Public Transports,Bus,10338.670000000002,-1000.63,-431.08000000000004,8906.960000000003
851,852,-138.47,2023-01-11,2222,11,Holidays,Extra Holiday Expenses,10338.670000000002,-1139.1,-431.08000000000004,8768.490000000002
1522,1523,-198.8,2023-01-12,2222,3,Purchases,Home Items,10338.670000000002,-1337.8999999999999,-431.08000000000004,8569.690000000002
860,861,-77.24,2023-01-12,2222,13,Leisure,Activities,10338.670000000002,-1415.1399999999999,-431.08000000000004,8492.450000000003
662,663,265.19,2023-01-13,1111,12,Income,Investiments,10603.860000000002,-1415.1399999999999,-431.08000000000004,8757.640000000003
1246,1247,-10.67,2023-01-13,2222,14,Leisure,Bar,10603.860000000002,-1425.81,-431.08000000000004,8746.970000000003
1822,1823,-30.86,2023-01-14,3333,14,Leisure,Bar,10603.860000000002,-1425.81,-461.94000000000005,8716.110000000002
1432,1433,-83.92,2023-01-14,2222,22,Taxes,Documents,10603.860000000002,-1509.73,-461.94000000000005,8632.190000000002
1255,1256,-37.98,2023-01-14,2222,25,Public Transports,Train,10603.860000000002,-1547.71,-461.94000000000005,8594.210000000001
838,839,-111.63,2023-01-15,3333,1,Car,Fuel,10603.860000000002,-1547.71,-573.57,8482.580000000002
855,856,-917.45,2023-01-15,1111,4,Purchases,Electronics,9686.410000000002,-1547.71,-573.57,7565.130000000002
714,715,-194.91,2023-01-15,2222,7,Home Expenses,Heating,9686.410000000002,-1742.6200000000001,-573.57,7370.220000000002
1598,1599,-648.0,2023-01-17,1111,4,Purchases,Electronics,9038.410000000002,-1742.6200000000001,-573.57,6722.220000000002
1219,1220,-35.96,2023-01-18,2222,13,Leisure,Activities,9038.410000000002,-1778.5800000000002,-573.57,6686.260000000002
472,473,-44.81,2023-01-18,1111,13,Leisure,Activities,8993.600000000002,-1778.5800000000002,-573.57,6641.450000000003
912,913,-252.47,2023-01-19,3333,23,Taxes,Income Taxes,8993.600000000002,-1778.5800000000002,-826.0400000000001,6388.980000000002
467,468,-50.64,2023-01-20,3333,18,Health,Medical Appointments,8993.600000000002,-1778.5800000000002,-876.6800000000001,6338.340000000002
942,943,-63.97,2023-01-20,1111,25,Public Transports,Train,8929.630000000003,-1778.5800000000002,-876.6800000000001,6274.370000000003
1199,1200,-117.92,2023-01-20,3333,6,Home Expenses,Electricity,8929.630000000003,-1778.5800000000002,-994.6,6156.450000000003
823,824,-189.3,2023-01-20,3333,23,Taxes,Income Taxes,8929.630000000003,-1778.5800000000002,-1183.9,5967.150000000003
1551,1552,-26.11,2023-01-22,1111,13,Leisure,Activities,8903.520000000002,-1778.5800000000002,-1183.9,5941.040000000003
835,836,-171.25,2023-01-22,2222,18,Health,Medical Appointments,8903.520000000002,-1949.8300000000002,-1183.9,5769.790000000003
923,924,-199.01,2023-01-22,2222,2,Car,Maintenance,8903.520000000002,-2148.84,-1183.9,5570.7800000000025
988,989,-100.33,2023-01-23,2222,6,Home Expenses,Electricity,8903.520000000002,-2249.17,-1183.9,5470.450000000003
593,594,-129.54,2023-01-23,1111,2,Car,Maintenance,8773.980000000001,-2249.17,-1183.9,5340.910000000002
625,626,-140.85,2023-01-23,3333,3,Purchases,Home Items,8773.980000000001,-2249.17,-1324.75,5200.060000000001
1133,1134,-59.15,2023-01-23,3333,4,Purchases,Electronics,8773.980000000001,-2249.17,-1383.9,5140.910000000002
1880,1881,-89.68,2023-01-24,3333,6,Home Expenses,Electricity,8773.980000000001,-2249.17,-1473.5800000000002,5051.230000000001
1737,1738,-87.09,2023-01-25,2222,11,Holidays,Extra Holiday Expenses,8773.980000000001,-2336.26,-1473.5800000000002,4964.140000000001
