,date,balance_account_1111,balance_account_2222,balance_account_3333,total_balance
0,2023-01-01,-1200.0,-97.55,0.0,-1297.55
1,2023-01-02,-1338.06,-137.55,0.0,-1475.61
2,2023-01-03,10661.94,-234.81,0.0,10427.130000000001
3,2023-01-04,10661.94,-285.77,-140.59,10235.58
4,2023-01-05,10661.94,-376.41999999999996,-184.66,10100.86
5,2023-01-06,10599.61,-376.41999999999996,-184.66,10038.53
6,2023-01-07,10599.61,-685.9799999999999,-399.72,9513.910000000002
7,2023-01-08,10396.150000000001,-685.9799999999999,-399.72,9310.450000000003
8,2023-01-09,10338.670000000002,-904.31,-431.08000000000004,9003.280000000002
9,2023-01-10,10338.670000000002,-982.81,-431.08000000000004,8924.780000000002
10,2023-01-11,10338.670000000002,-1139.1,-431.08000000000004,8768.490000000002
11,2023-01-12,10338.670000000002,-1415.1399999999999,-431.08000000000004,8492.450000000003
12,2023-01-13,10603.860000000002,-1425.81,-431.08000000000004,8746.970000000003
13,2023-01-14,10603.860000000002,-1547.71,-461.94000000000005,8594.210000000001
14,2023-01-15,9686.410000000002,-1742.6200000000001,-573.57,7370.220000000002
15,2023-01-17,9038.410000000002,-1742.6200000000001,-573.57,6722.220000000002
16,2023-01-18,8993.600000000002,-1778.5800000000002,-573.57,6641.450000000003
17,2023-01-19,8993.600000000002,-1778.5800000000002,-826.0400000000001,6388.980000000002
18,2023-01-20,8929.630000000003,-1778.5800000000002,-1183.9,5967.150000000003
19,2023-01-22,8903.520000000002,-2148.84,-1183.9,5570.7800000000025
20,2023-01-23,8773.980000000001,-2249.17,-1383.9,5140.910000000002
21,2023-01-24,8773.980000000001,-2249.17,-1473.5800000000002,5051.230000000001
22,2023-01-25,8773.980000000001,-2378.2400000000002,-1495.94,4899.800000000001
23,2023-01-26,8344.37,-2404.6400000000003,-1495.94,4443.790000000001
24,2023-01-27,8344.37,-2404.6400000000003,-1847.3400000000001,4092.3900000000003
25,2023-01-28,7751.130000000001,-2404.6400000000003,-1887.66,3458.830000000001
26,2023-01-29,7708.610000000001,-2404.6400000000003,-1887.66,3416.3100000000004
27,2023-01-30,7708.610000000001,-2435.6000000000004,-2072.23,3200.78
28,2023-02-01,7668.610000000001,-2435.6000000000004,-2072.23,3160.78
