,date,balance,account
0,2023-01-01,-1200.0,Account #1111
1,2023-01-02,-1338.06,Account #1111
2,2023-01-03,10661.94,Account #1111
3,2023-01-04,10661.94,Account #1111
4,2023-01-05,10661.94,Account #1111
5,2023-01-06,10599.61,Account #1111
6,2023-01-07,10599.61,Account #1111
7,2023-01-08,10396.150000000001,Account #1111
8,2023-01-09,10338.670000000002,Account #1111
9,2023-01-10,10338.670000000002,Account #1111
10,2023-01-11,10338.670000000002,Account #1111
11,2023-01-12,10338.670000000002,Account #1111
12,2023-01-13,10603.860000000002,Account #1111
13,2023-01-14,10603.860000000002,Account #1111
14,2023-01-15,9686.410000000002,Account #1111
15,2023-01-17,9038.410000000002,Account #1111
16,2023-01-18,8993.600000000002,Account #1111
17,2023-01-19,8993.600000000002,Account #1111
18,2023-01-20,8929.630000000003,Account #1111
19,2023-01-22,8903.520000000002,Account #1111
20,2023-01-23,8773.980000000001,Account #1111
21,2023-01-24,8773.980000000001,Account #1111
22,2023-01-25,8773.980000000001,Account #1111
23,2023-01-26,8344.37,Account #1111
24,2023-01-27,8344.37,Account #1111
25,2023-01-28,7751.130000000001,Account #1111
26,2023-01-29,7708.610000000001,Account #1111
27,2023-01-30,7708.610000000001,Account #1111
28,2023-02-01,7668.610000000001,Account #1111
29,2023-02-03,7668.610000000001,Account #1111
30,2023-02-04,7668.610000000001,Account #1111
31,2023-02-05,7668.610000000001,Account #1111
32,2023-02-06,6835.280000000001,Account #1111
33,2023-02-08,6835.280000000001,Account #1111
34,2023-02-10,6835.280000000001,Account #1111
35,2023-02-12,5983.41,Account #1111
36,2023-02-13,5023.62,Account #1111
37,2023-02-14,4940.0599999999995,Account #1111
38,2023-02-15,4940.0599999999995,Account #1111
39,2023-02-16,4940.0599999999995,Account #1111
40,2023-02-17,4940.0599999999995,Account #1111
41,2023-02-19,4798.839999999999,Account #1111
42,2023-02-20,4798.839999999999,Account #1111
43,2023-02-21,4798.839999999999,Account #1111
44,2023-02-22,4798.839999999999,Account #1111
45,2023-02-23,4798.839999999999,Account #1111
46,2023-02-24,4656.209999999999,Account #1111
47,2023-02-25,4367.969999999999,Account #1111
48,2023-02-26,4367.969999999999,Account #1111
49,2023-02-27,4221.579999999999,Account #1111
50,2023-03-01,4221.579999999999,Account #1111
51,2023-03-02,16126.759999999998,Account #1111
52,2023-03-03,16126.759999999998,Account #1111
53,2023-03-04,16126.759999999998,Account #1111
54,2023-03-05,15987.969999999998,Account #1111
55,2023-03-06,15847.609999999997,Account #1111
56,2023-03-07,15847.609999999997,Account #1111
57,2023-03-08,15811.469999999998,Account #1111
58,2023-03-09,15811.469999999998,Account #1111
59,2023-03-10,15802.139999999998,Account #1111
60,2023-03-11,15737.839999999998,Account #1111
61,2023-03-12,15737.839999999998,Account #1111
62,2023-03-13,15737.839999999998,Account #1111
63,2023-03-14,15737.839999999998,Account #1111
64,2023-03-16,15737.839999999998,Account #1111
65,2023-03-17,15737.839999999998,Account #1111
66,2023-03-18,15737.839999999998,Account #1111
67,2023-03-20,15659.049999999997,Account #1111
68,2023-03-21,15404.619999999997,Account #1111
69,2023-03-22,15404.619999999997,Account #1111
70,2023-03-23,15404.619999999997,Account #1111
71,2023-03-24,15404.619999999997,Account #1111
72,2023-03-25,14762.079999999998,Account #1111
73,2023-03-27,14730.869999999999,Account #1111
74,2023-03-28,14690.259999999998,Account #1111
75,2023-03-29,14690.259999999998,Account #1111
76,2023-03-31,14397.049999999997,Account #1111
77,2023-04-01,14238.629999999997,Account #1111
78,2023-04-02,14238.629999999997,Account #1111
79,2023-04-03,13394.169999999996,Account #1111
80,2023-04-04,13272.939999999997,Account #1111
81,2023-04-05,13272.939999999997,Account #1111
82,2023-04-06,13272.939999999997,Account #1111
83,2023-04-07,13164.259999999997,Account #1111
84,2023-04-08,13052.519999999997,Account #1111
85,2023-04-11,13052.519999999997,Account #1111
86,2023-04-12,13052.519999999997,Account #1111
87,2023-04-13,13052.519999999997,Account #1111
88,2023-04-15,13052.519999999997,Account #1111
89,2023-04-16,13052.519999999997,Account #1111
90,2023-04-17,12871.249999999996,Account #1111
91,2023-04-18,11893.899999999996,Account #1111
92,2023-04-19,11893.899999999996,Account #1111
93,2023-04-20,11893.899999999996,Account #1111
94,2023-04-21,11893.899999999996,Account #1111
95,2023-04-22,11842.479999999996,Account #1111
96,2023-04-24,11675.139999999996,Account #1111
97,2023-04-25,11507.049999999996,Account #1111
98,2023-04-26,11507.049999999996,Account #1111
99,2023-04-27,11128.859999999997,Account #1111
100,2023-04-28,11093.339999999997,Account #1111
101,2023-04-29,11093.339999999997,Account #1111
102,2023-05-01,10973.339999999997,Account #1111
103,2023-05-02,10819.739999999996,Account #1111
104,2023-05-03,10819.739999999996,Account #1111
105,2023-05-04,10725.829999999996,Account #1111
