,id_expense,value,date,account_number,category_id,main_category,secondary_category,essential
0,1,-1200.0,2023-01-01,1111,8,Home Expenses,Rent,Essentials
1,2,-40.0,2023-01-02,2222,19,Health,Gym,Essentials
2,3,-100.0,2023-01-04,3333,20,Health,Health Insurance,Essentials
4,5,-1200.0,2023-02-05,2222,8,Home Expenses,Rent,Essentials
5,6,-40.0,2023-02-01,1111,19,Health,Gym,Essentials
6,7,-100.0,2023-02-04,3333,20,Health,Health Insurance,Essentials
8,9,-1200.0,2023-03-02,3333,8,Home Expenses,Rent,Essentials
9,10,-40.0,2023-03-04,3333,19,Health,Gym,Essentials
10,11,-100.0,2023-03-05,1111,20,Health,Health Insurance,Essentials
12,13,-1200.0,2023-04-04,2222,8,Home Expenses,Rent,Essentials
13,14,-40.0,2023-04-05,2222,19,Health,Gym,Essentials
14,15,-100.0,2023-04-01,2222,20,Health,Health Insurance,Essentials
16,17,-1200.0,2023-05-04,3333,8,Home Expenses,Rent,Essentials
17,18,-40.0,2023-05-04,1111,19,Health,Gym,Essentials
18,19,-100.0,2023-05-01,1111,20,Health,Health Insurance,Essentials
20,21,-1200.0,2023-06-03,3333,8,Home Expenses,Rent,Essentials
21,22,-40.0,2023-06-04,1111,19,Health,Gym,Essentials
22,23,-100.0,2023-06-03,2222,20,Health,Health Insurance,Essentials
24,25,-1200.0,2023-07-02,1111,8,Home Expenses,Rent,Essentials
25,26,-40.0,2023-07-01,2222,19,Health,Gym,Essentials
26,27,-100.0,2023-07-04,1111,20,Health,Health Insurance,Essentials
28,29,-1200.0,2023-08-03,3333,8,Home Expenses,Rent,Essentials
29,30,-40.0,2023-08-04,3333,19,Health,Gym,Essentials
30,31,-100.0,2023-08-04,2222,20,Health,Health Insurance,Essentials
32,33,-1200.0,2023-09-01,2222,8,Home Expenses,Rent,Essentials
33,34,-40.0,2023-09-05,3333,19,Health,Gym,Essentials
34,35,-100.0,2023-09-05,1111,20,Health,Health Insurance,Essentials
36,37,-1200.0,2023-10-05,1111,8,Home Expenses,Rent,Essentials
37,38,-40.0,2023-10-02,2222,19,Health,Gym,Essentials
38,39,-100.0,2023-10-04,3333,20,Health,Health Insurance,Essentials
40,41,-1200.0,2023-11-02,1111,8,Home Expenses,Rent,Essentials
41,42,-40.0,2023-11-03,2222,19,Health,Gym,Essentials
42,43,-100.0,2023-11-04,3333,20,Health,Health Insurance,Essentials
44,45,-1200.0,2023-12-03,2222,8,Home Expenses,Rent,Essentials
45,46,-40.0,2023-12-05,3333,19,Health,Gym,Essentials
46,47,-100.0,2023-12-01,3333,20,Health,Health Insurance,Essentials
48,49,-1200.0,2024-01-02,1111,8,Home Expenses,Rent,Essentials
49,50,-40.0,2024-01-05,1111,19,Health,Gym,Essentials
50,51,-100.0,2024-01-05,2222,20,Health,Health Insurance,Essentials
52,53,-1200.0,2024-02-03,2222,8,Home Expenses,Rent,Essentials
53,54,-40.0,2024-02-03,1111,19,Health,Gym,Essentials
54,55,-100.0,2024-02-05,3333,20,Health,Health Insurance,Essentials
56,57,-1200.0,2024-03-01,1111,8,Home Expenses,Rent,Essentials
57,58,-40.0,2024-03-05,2222,19,Health,Gym,Essentials
58,59,-100.0,2024-03-03,2222,20,Health,Health Insurance,Essentials
60,61,-1200.0,2024-04-02,1111,8,Home Expenses,Rent,Essentials
61,62,-40.0,2024-04-02,1111,19,Health,Gym,Essentials
62,63,-100.0,2024-04-05,1111,20,Health,Health Insurance,Essentials
64,65,-1200.0,2024-05-05,3333,8,Home Expenses,Rent,Essentials
65,66,-40.0,2024-05-05,3333,19,Health,Gym,Essentials
66,67,-100.0,2024-05-05,3333,20,Health,Health Insurance,Essentials
68,69,-1200.0,2024-06-04,1111,8,Home Expenses,Rent,Essentials
69,70,-40.0,2024-06-01,1111,19,Health,Gym,Essentials
70,71,-100.0,2024-06-01,2222,20,Health,Health Insurance,Essentials
72,73,-1200.0,2024-07-03,1111,8,Home Expenses,Rent,Essentials
73,74,-40.0,2024-07-04,3333,19,Health,Gym,Essentials
74,75,-100.0,2024-07-05,2222,20,Health,Health Insurance,Essentials
76,77,-1200.0,2024-08-03,1111,8,Home Expenses,Rent,Essentials
77,78,-40.0,2024-08-01,1111,19,Health,Gym,Essentials
78,79,-100.0,2024-08-02,3333,20,Health,Health Insurance,Essentials
80,81,-1200.0,2024-09-02,2222,8,Home Expenses,Rent,Essentials
81,82,-40.0,2024-09-02,1111,19,Health,Gym,Essentials
82,83,-100.0,2024-09-02,1111,20,Health,Health Insurance,Essentials
84,85,-1200.0,2024-10-01,1111,8,Home Expenses,Rent,Essentials
85,86,-40.0,2024-10-01,2222,19,Health,Gym,Essentials
86,87,-100.0,2024-10-04,1111,20,Health,Health Insurance,Essentials
88,89,-1200.0,2024-11-01,3333,8,Home Expenses,Rent,Essentials
89,90,-40.0,2024-11-05,3333,19,Health,Gym,Essentials
90,91,-100.0,2024-11-01,2222,20,Health,Health Insurance,Essentials
92,93,-1200.0,2024-12-01,1111,8,Home Expenses,Rent,Essentials
93,94,-40.0,2024-12-03,3333,19,Health,Gym,Essentials
94,95,-100.0,2024-12-01,1111,20,Health,Health Insurance,Essentials
96,97,-1200.0,2025-01-02,3333,8,Home Expenses,Rent,Essentials
97,98,-40.0,2025-01-02,1111,19,Health,Gym,Essentials
98,99,-100.0,2025-01-03,1111,20,Health,Health Insurance,Essentials
100,101,-1200.0,2025-02-03,3333,8,Home Expenses,Rent,Essentials
101,102,-40.0,2025-02-03,2222,19,Health,Gym,Essentials
102,103,-100.0,2025-02-02,3333,20,Health,Health Insurance,Essentials
104,105,-1200.0,2025-03-05,3333,8,Home Expenses,Rent,Essentials
105,106,-40.0,2025-03-01,1111,19,Health,Gym,Essentials
106,107,-100.0,2025-03-05,1111,20,Health,Health Insurance,Essentials
108,109,-1200.0,2025-04-02,2222,8,Home Expenses,Rent,Essentials
109,110,-40.0,2025-04-02,3333,19,Health,Gym,Essentials
110,111,-100.0,2025-04-01,3333,20,Health,Health Insurance,Essentials
112,113,-1200.0,2025-05-05,3333,8,Home Expenses,Rent,Essentials
113,114,-40.0,2025-05-04,2222,19,Health,Gym,Essentials
114,115,-100.0,2025-05-05,1111,20,Health,Health Insurance,Essentials
116,117,-1200.0,2025-06-01,1111,8,Home Expenses,Rent,Essentials
117,118,-40.0,2025-06-03,2222,19,Health,Gym,Essentials
118,119,-100.0,2025-06-04,1111,20,Health,Health Insurance,Essentials
120,121,-1200.0,2025-07-04,1111,8,Home Expenses,Rent,Essentials
121,122,-40.0,2025-07-03,1111,19,Health,Gym,Essentials
122,123,-100.0,2025-07-04,1111,20,Health,Health Insurance,Essentials
124,125,-1200.0,2025-08-04,2222,8,Home Expenses,Rent,Essentials
