,order_id,buy_id,open_position,product_id,product_name,ticker,code_stockexc,date,hour,transaction_type,quantity,currency,price_unit,cambio_rate,comissions,taxes
0,1,1,False,1,Apple Inc,AAPL,NDQ,2022-05-18,09:05:00,BUY,20.0,USD,140.82,1.0519,3.0,28.16
1,2,2,True,1,Apple Inc,AAPL,NDQ,2022-06-02,10:13:00,BUY,10.0,USD,151.21,1.0706,3.0,15.12
2,3,1,False,1,Apple Inc,AAPL,NDQ,2023-11-27,15:04:00,SELL,20.0,USD,189.79,1.0737,3.0,97.94
3,4,3,True,2,Alphabet Inc,ABEC,TDG,2025-06-23,08:43:00,BUY,10.0,EUR,145.32,,3.0,14.53
4,5,3,True,2,Alphabet Inc,ABEC,TDG,2025-09-15,07:34:00,Dividend,10.0,USD,0.21,1.1896,,0.18
5,6,4,True,3,Vanguard FTSE All-World UCITS ETF USD Acc,VWCE,XET,2025-08-01,15:33:00,BUY,10.0,EUR,132.24,,1.0,17.46
6,7,5,True,3,Vanguard FTSE All-World UCITS ETF USD Acc,VWCE,XET,2025-10-17,10:31:00,BUY,10.0,EUR,138.6,,1.0,18.3
7,8,6,True,4,MercadoLibre Inc,MELI,NDQ,2025-11-25,15:49:00,BUY,1.0,USD,2006.06,1.1572,3.0,17.34
8,9,7,True,5,Deutsche Boerse Commodities Xetra-Gold ETC,4GLD,XET,2025-11-25,15:51:00,BUY,10.0,EUR,114.79,,5.0,11.48
9,10,8,True,6,Bitcoin,BTC,none,2025-11-25,15:52:00,BUY,0.05,EUR,74723.56,,1.0,
10,11,9,True,7,Goldman Sachs Access China Government Bond UCITS ETF USD (Dist),CBND,MIL,2025-11-25,15:53:00,BUY,10.0,EUR,47.19,,3.0,4.72
